,year,latitude,longitude,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,sun hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,production
8102,2017,36.1053,-79.9692,22.245054945054946,11.421428571428567,1095.6999999999998,1045.4,35.84,1174.0,0 days 12:14:30.494505494,14.747252747252768,36.45576923076923,187.71428571428572,5775.950000000001,1178.6,2.18
8103,2017,38.665,-75.3994,19.23818681318683,11.700274725274735,1227.5,1174.0000000000002,38.43,1199.0,0 days 12:15:14.010989010,19.729120879120895,39.18351648351653,204.50824175824175,5654.280000000001,1123.6699999999998,4.88
8104,2017,41.0128,-81.7643,16.932967032967024,7.895879120879122,1173.6,1114.8000000000002,51.31,1550.0,0 days 12:16:02.472527472,17.95686813186811,42.5043956043956,208.95054945054946,5102.41,974.0799999999999,10.26
8105,2017,41.396,-83.582,16.69505494505495,7.472802197802197,1093.5,1035.9,44.59,1240.0,0 days 12:16:10.219780219,21.355494505494516,42.71538461538462,201.7032967032967,5309.93,1010.04,32.59
8106,2017,40.7024,-81.5898,17.194780219780228,7.9673076923076955,1139.4,1090.4,42.77,1511.0,0 days 12:15:54.230769230,17.241208791208788,41.42280219780221,209.55494505494505,5072.929999999999,966.8,3.09
8107,2017,41.9341,-84.9972,15.677747252747254,6.496153846153852,1080.4,1005.1000000000001,62.64999999999999,1314.0,0 days 12:16:21.593406593,20.587362637362652,42.68104395604396,205.43956043956044,5146.110000000001,961.16,2.11
8108,2017,38.929,-78.18,20.30741758241758,9.910989010989011,1042.8,993.8,35.07,1115.0,0 days 12:15:16.648351648,13.885164835164835,36.64890109890109,217.77197802197801,5431.93,1067.79,4.07
8109,2017,40.445,-84.0472,17.030219780219788,7.730769230769237,1093.8,1051.9,34.86,1358.0,0 days 12:15:52.582417582,21.365384615384624,42.92554945054946,201.40934065934067,5280.45,1011.77,2.6
8110,2017,40.8564,-81.7595,17.2532967032967,7.992582417582411,1124.1,1075.3000000000002,41.93000000000001,1458.0,0 days 12:16:00.659340659,17.836813186813202,41.2516483516483,209.74175824175825,5082.33,974.73,3.74
8111,2017,40.1304,-84.2554,17.514010989010988,8.020329670329671,1103.1,1072.1,26.46,1274.0,0 days 12:15:43.681318681,20.863736263736268,42.254945054945075,201.53846153846155,5309.68,1023.0,20.53
8112,2017,40.1409,-84.2315,17.614010989010993,8.120329670329676,1103.1,1072.1,26.46,1274.0,0 days 12:15:43.846153846,20.863736263736268,42.254945054945075,201.53846153846155,5309.68,1024.79,2.93
8113,2017,39.2797,-75.6224,19.34697802197803,11.431593406593414,1100.4,1052.6,34.79,1121.0,0 days 12:15:26.703296703,19.024450549450563,40.70164835164839,205.3846153846154,5466.299999999999,1119.58,1.95
8114,2017,40.2207,-84.4978,17.393681318681313,7.935439560439564,1123.1,1090.5,27.72,1276.0,0 days 12:15:46.153846153,21.37747252747253,42.424725274725255,203.13736263736263,5328.68,1029.07,2.93
8115,2017,39.8229,-75.2163,19.456593406593395,10.468956043956045,1011.5,950.9,44.24,1052.0,0 days 12:15:38.076923076,17.277197802197797,38.925549450549475,202.12362637362637,5246.56,1080.8200000000002,6.19
8116,2017,39.911,-75.1186,19.299725274725276,10.245604395604406,1073.3,997.5,54.32000000000001,1183.0,0 days 12:15:40.714285714,17.474450549450548,39.30769230769229,201.98626373626374,5174.389999999999,1079.04,3.58
8117,2017,41.6798,-70.4953,14.048076923076916,9.03598901098901,1198.5,1088.0,79.94,1239.0,0 days 12:16:15.824175824,26.09999999999999,47.27115384615386,200.03296703296704,5165.04,856.62,6.61
8118,2017,41.8015,-71.1448,15.50329670329671,7.870604395604399,1216.3,1085.1,94.01,1157.0,0 days 12:16:18.956043956,18.84340659340659,42.55824175824178,208.65934065934067,4956.69,876.6999999999999,4.89
8119,2017,40.7778,-74.4272,18.017307692307693,8.968681318681316,1164.4,1050.5,81.83,1324.0,0 days 12:15:56.703296703,16.16401098901099,39.72445054945056,210.0467032967033,5036.28,999.01,3.25
8120,2017,42.0561,-71.1413,15.9043956043956,6.969780219780215,1205.6000000000001,1057.2,105.56,1207.0,0 days 12:16:25.219780219,16.81703296703297,41.168406593406594,212.6565934065934,4938.41,903.6,3.25
8121,2017,42.817,-71.1168,14.944505494505504,7.29917582417583,1063.6,845.8000000000001,155.19,1272.0,0 days 12:16:42.362637362,18.1282967032967,40.711813186813146,204.78846153846155,4964.68,891.0799999999999,5.52
8122,2017,39.5752,-75.0141,19.201098901098877,10.5793956043956,1088.3000000000002,1032.0,40.53,1171.0,0 days 12:15:33.791208791,17.546703296703303,39.7986263736264,204.17582417582418,5427.23,1089.8899999999999,6.51
8123,2017,42.2433,-71.6723,15.570604395604418,6.704395604395607,1138.4,943.4000000000001,139.93,1354.0,0 days 12:16:27.362637362,17.29917582417582,42.400824175824155,215.15934065934067,4918.13,909.32,3.25
8124,2017,42.2376,-71.6861,15.721703296703296,6.853846153846158,1138.4,943.4000000000001,139.93,1354.0,0 days 12:16:28.681318681,17.29917582417582,42.400824175824155,215.15934065934067,4918.13,913.8999999999999,1.62
8125,2017,42.4139,-71.5136,16.102472527472536,6.6587912087912,1050.6,838.0,151.48,1286.0,0 days 12:16:32.967032967,16.515659340659344,40.5,217.14835164835165,4913.0599999999995,933.4200000000001,2.11
8126,2017,39.7409,-105.171,19.583791208791204,4.117307692307694,504.2,381.1,91.00000000000001,890.0,0 days 12:15:39.395604395,15.828846153846168,34.871978021978016,191.37087912087912,6629.48,1290.9900000000002,4.62
8127,2017,39.909,-105.2318,16.80604395604396,2.8453296703296704,815.2,611.4000000000001,152.39,1423.0,0 days 12:15:37.087912087,13.775549450549441,36.2087912087912,221.51098901098902,6643.950000000001,1157.79,1.53
8128,2017,36.1373,-120.2185,27.695054945054945,14.477747252747255,258.0,258.0,0.0,455.0,0 days 12:14:30.989010989,12.03846153846154,31.928846153846155,280.1510989010989,7266.87,1673.6399999999999,4.21
8129,2017,40.8368,-75.0655,17.94972527472527,8.58928571428571,1124.5,1018.2,76.37,1371.0,0 days 12:15:58.846153846,15.446153846153841,39.2598901098901,215.56593406593407,5063.55,983.6700000000001,16.29
8130,2017,40.8437,-75.0652,17.94972527472527,8.58928571428571,1124.5,1018.2,76.37,1371.0,0 days 12:15:59.505494505,15.446153846153841,39.2598901098901,215.56593406593407,5063.55,983.6700000000001,6.65
8131,2017,41.5416,-72.475,16.284890109890114,7.607967032967036,1154.0,1028.3000000000002,90.57999999999998,1277.0,0 days 12:16:14.010989010,16.902197802197797,41.22554945054948,210.75,5135.9800000000005,946.52,60.13
8132,2017,44.6578,-93.1085,13.906593406593412,4.548626373626375,971.5999999999999,884.6,65.03,1084.0,0 days 12:17:26.208791208,18.635164835164836,39.9186813186813,205.46703296703296,5041.04,885.59,1.62
8133,2017,34.7181,-84.9319,23.33626373626373,13.036263736263741,1342.2,1326.5,11.129999999999999,1324.0,0 days 12:14:07.912087912,14.059065934065929,35.378296703296684,183.55494505494505,5716.460000000001,1152.08,13.45
8134,2017,13.3035,144.7492,,,0.0,0.0,0.0,0.0,0 days 12:10:23.076923076,,,,0.0,0.0,64.34
8135,2017,35.8489,-80.5536,22.691208791208787,11.906043956043945,993.6,949.3000000000001,31.08,1149.0,0 days 12:14:24.725274725,13.860164835164822,35.19890109890111,186.99175824175825,5811.68,1185.27,10.15
8136,2017,36.6606,-79.2991,21.672252747252735,11.189285714285708,1019.8,978.3999999999999,29.68,1108.0,0 days 12:14:40.384615384,14.872802197802187,36.22884615384617,199.30769230769232,5722.85,1158.54,9.77
8137,2017,34.32,-79.917,25.071428571428555,14.00796703296704,1109.9,1103.5,4.48,1150.0,0 days 12:14:00.659340659,17.709340659340643,36.80989010989008,178.48626373626374,6064.6900000000005,1330.7200000000003,16.29
8138,2017,41.6761,-70.9969,15.478021978021978,7.750824175824179,1166.8,1044.7,87.50000000000001,1211.0,0 days 12:16:15.824175824,18.613736263736264,43.163736263736254,209.38186813186815,5026.589999999999,889.71,10.48
8139,2017,41.6806,-71.0308,15.628846153846151,7.9005494505494465,1166.8,1044.7,87.50000000000001,1211.0,0 days 12:16:15.164835164,18.613736263736264,43.163736263736254,209.38186813186815,5026.589999999999,893.38,2.78
8140,2017,41.5811,-70.9981,15.14890109890109,8.53516483516484,1162.1999999999998,1046.0,83.37,1241.0,0 days 12:16:14.010989010,21.171153846153853,44.70192307692305,203.37637362637363,5097.01,891.66,2.02
8141,2017,41.7158,-70.9744,15.628846153846151,7.9005494505494465,1166.8,1044.7,87.50000000000001,1211.0,0 days 12:16:17.142857142,18.613736263736264,43.163736263736254,209.38186813186815,5026.589999999999,893.38,2.2
8142,2017,36.1073,-76.5292,22.19560439560441,13.47225274725275,1278.5,1270.7,5.6,1345.0,0 days 12:14:30.659340659,16.469230769230773,36.18489010989012,179.65384615384616,5641.299999999999,1103.4900000000002,8.14
8143,2017,32.1736,-110.8997,30.103296703296703,16.243406593406597,190.0,189.8,0.14,364.0,0 days 12:13:30,17.465934065934068,36.674725274725304,183.8379120879121,7822.54,2068.71,33.95
8144,2017,40.053,-74.556,18.9978021978022,10.027747252747252,1124.1000000000001,1052.1,52.36,1201.0,0 days 12:15:41.868131868,17.73873626373624,40.28983516483521,202.0054945054945,5228.51,1072.4,7.33
8145,2017,35.0356,-77.2025,23.26483516483516,13.673626373626366,1418.1999999999998,1416.4,1.26,1319.0,0 days 12:14:10.714285714,15.257417582417572,36.500824175824164,183.9065934065934,5715.660000000001,1126.8899999999999,8.14
8146,2017,45.17,-123.135,18.36208791208792,7.815934065934071,1266.3,1245.7,14.84,1923.0,0 days 12:17:39.890109890,14.55686813186814,35.8824175824176,196.39285714285714,5030.710000000001,939.56,3.58
8147,2017,29.1702,-81.0641,27.678296703296702,19.310714285714297,1344.9,1344.9,0.0,1403.0,0 days 12:12:48.626373626,17.307967032967024,36.74038461538459,156.9478021978022,6056.120000000001,1350.94,3.25
8148,2017,27.3232,-81.8019,29.546153846153842,19.297252747252756,1591.3999999999999,1591.3999999999999,0.0,1256.0,0 days 12:12:28.021978021,14.319505494505504,34.239010989011014,148.16758241758242,6350.86,1429.55,51.32
8149,2017,39.3379,-85.5064,18.428571428571438,8.931318681318679,1181.9,1165.6999999999998,14.98,1277.0,0 days 12:15:27.362637362,18.543406593406594,40.05521978021978,197.0934065934066,5441.73,1051.7,1.79
8150,2017,30.965,-84.6261,27.14313186813187,16.18791208791208,1106.6,1106.6,0.0,1044.0,0 days 12:13:10.879120879,15.912087912087914,34.67115384615381,177.7967032967033,6206.15,1369.14,45.8
8151,2017,30.9919,-84.6339,27.04313186813186,16.08791208791209,1106.6,1106.6,0.0,1044.0,0 days 12:13:12.692307692,15.912087912087914,34.67115384615381,177.7967032967033,6206.15,1366.42,181.9
8152,2017,34.6708,-79.1994,24.550000000000022,13.528296703296691,1022.3,1016.7,3.92,1129.0,0 days 12:14:07.087912087,17.505494505494514,37.42747252747253,176.51098901098902,5999.09,1304.42,8.14
8153,2017,40.51,-85.64,17.345329670329672,7.873076923076933,1116.8,1083.2,27.79,1211.0,0 days 12:15:50.109890109,21.58296703296703,42.3637362637363,199.53021978021977,5373.36,1039.08,3.55
8154,2017,40.7608,-73.1939,15.209890109890104,10.799175824175832,1235.6,1123.1,80.42999999999999,1287.0,0 days 12:15:57.362637362,24.899725274725256,42.08543956043956,200.29395604395606,5314.04,939.49,3.91
8155,2017,42.5629,-72.5892,15.986263736263739,6.2554945054945055,1110.2,911.6,142.17000000000002,1456.0,0 days 12:16:34.285714285,15.467307692307694,39.51181318681318,217.55769230769232,4933.23,894.5799999999999,9.77
8156,2017,35.7612,-119.3444,27.38708791208791,14.837637362637361,316.5,316.5,0.0,543.0,0 days 12:14:23.241758241,11.604395604395608,26.96978021978024,281.7307692307692,7137.3099999999995,1563.88,1.62
8157,2017,34.319,-78.2091,23.736263736263737,13.957417582417582,1323.9,1318.8000000000002,3.5700000000000003,1433.0,0 days 12:14:02.637362637,15.751373626373638,37.75989010989011,184.0686813186813,6009.709999999999,1189.89,10.21
8158,2017,39.4161,-74.5439,18.40082417582417,11.071978021978024,1087.3,1027.1000000000001,43.26,1080.0,0 days 12:15:31.648351648,21.13406593406594,43.557142857142864,205.67582417582418,5489.25,1076.85,14.64
8159,2017,45.6186,-94.0888,13.116758241758234,3.4521978021978033,909.6999999999999,834.6999999999999,56.7,982.0,0 days 12:17:51.758241758,18.950549450549442,40.325,204.76923076923077,5084.38,875.0799999999999,3.25
8160,2017,42.7,-84.701,15.557967032967026,6.032967032967038,1003.3,916.0,69.51,1345.0,0 days 12:16:36.593406593,18.713461538461548,41.60659340659343,206.44230769230768,5083.959999999999,962.59,13.19
8161,2017,42.707,-84.7,15.557967032967026,6.032967032967038,1003.3,916.0,69.51,1345.0,0 days 12:16:36.428571428,18.713461538461548,41.60659340659343,206.44230769230768,5083.959999999999,962.1899999999999,25.9
