Unnamed: 0,country,capacity_mw,lat,lon,primary_fuel,Solar Generation (2017),province
20649,ESP,30.0,38.9497,-2.3542,Wind,65.77,Albacete
20650,ESP,24.0,41.5558,-0.9601,Wind,45.07,Zaragoza
20651,ESP,33.4,36.4469,-5.2858,Wind,71.03,Cadiz
20652,ESP,50.0,42.0357,-6.9054,Wind,106.87,Ourense
20653,ESP,49.5,38.6722,-2.4099,Wind,143.5,Albacete
20654,ESP,49.5,39.1667,-3.8542,Wind,128.77,Ciudad Real
20655,ESP,50.0,39.2741,-4.0554,Wind,107.13,Ciudad Real
20656,ESP,25.5,40.6377,-0.3404,Wind,64.09,Castellon/Castello
20657,ESP,36.8,42.6661,-7.8861,Wind,54.56,Ourense
20658,ESP,36.8,42.7422,-7.9383,Wind,78.26,Ourense
20659,ESP,31.45,42.6609,-8.1129,Wind,66.88,Pontevedra
20660,ESP,15.75,42.25,-7.3833,Wind,33.49,Ourense
20661,ESP,40.5,39.0422,-2.4807,Wind,100.09,Albacete
20662,ESP,46.0,42.2051,-2.3827,Wind,111.06,La Rioja
20663,ESP,84.80000000000003,43.1615,-5.6234,Wind,180.34,Asturias
20664,ESP,24.75,41.9503,-2.2998,Wind,52.63,Soria
20665,ESP,18.0,42.6487,-3.5904,Wind,41.27,Burgos
20666,ESP,19.2,42.8233,-9.0891,Wind,40.83,Pontevedra
20667,ESP,21.78,42.6088,-7.7712,Wind,46.31,Ourense
20668,ESP,44.6,42.7762,-9.0603,Wind,94.85,Pontevedra
20669,ESP,14.85,36.0139,-5.6069,Wind,37.48,Ceuta
20670,ESP,20.7,42.25,-7.3833,Wind,44.02,Ourense
20671,ESP,22.95,42.25,-7.3833,Wind,33.23,Ourense
20672,ESP,33.8,43.1653,-9.1125,Wind,71.88,A Coruna
20673,ESP,14.4,42.4667,-8.4667,Wind,42.04,Pontevedra
20674,ESP,30.0,39.8667,-1.6333,Wind,69.85,Cuenca
20675,ESP,24.42,43.3377,-6.4145,Wind,48.27,Asturias
20676,ESP,24.0,41.5558,-0.9601,Wind,45.07,Zaragoza
20677,ESP,24.0,41.5388,-0.9962,Wind,45.07,Zaragoza
20678,ESP,24.0,41.5801,-1.1172,Wind,45.07,Zaragoza
20679,ESP,40.3,43.0084,-9.1133,Wind,93.73,A Coruna
20680,ESP,29.75,42.1865,-2.18,Wind,63.26,La Rioja
20681,ESP,36.55,41.351000000000006,-2.4737,Wind,77.73,Soria
20682,ESP,80.42,41.3006,-2.475,Wind,172.36,Soria
20683,ESP,12.8,36.1949,-5.7634,Wind,28.25,Cadiz
20684,ESP,89.6,41.8157,-1.4882,Wind,209.43,Zaragoza
20685,ESP,40.0,41.8325,-1.4598,Wind,85.48,Zaragoza
20686,ESP,49.3,43.2134,-7.2937,Wind,104.84,Lugo
20687,ESP,27.2,42.25,-7.3833,Wind,57.84,Ourense
20688,ESP,20.0,42.7815,-7.4143,Wind,30.93,Lugo
20689,ESP,24.7,39.1452,-1.3288,Wind,52.52,Albacete
20690,ESP,30.0,38.748000000000005,-1.1985,Wind,79.72,Albacete
20691,ESP,46.86,38.7564,-1.0117,Wind,99.65,Alicante/Alacant
20692,ESP,28.8,41.5406,-1.7166,Wind,63.78,Zaragoza
20693,ESP,30.6,43.4118,-6.2602,Wind,71.03,Asturias
20694,ESP,33.0,42.45,-1.1167,Wind,70.18,Navarra
20695,ESP,44.0,43.3377,-6.4145,Wind,101.61,Asturias
20696,ESP,17.82,43.2155,-6.8757,Wind,37.89,Lugo
20697,ESP,18.48,41.7389,-2.1697,Wind,36.93,Soria
20698,ESP,15.18,37.5302,-3.6562,Wind,32.28,Granada
20699,ESP,36.9,40.7342,-1.6172,Wind,78.47,Teruel
20700,ESP,26.25,38.9147,-3.5369,Wind,55.82,Ciudad Real
