,country,capacity_mw,lat,lon,primary_fuel,Solar Generation (2017)
20318,ESP,24.0,42.4098,-3.7632,Wind,58.66
20319,ESP,14.0,42.3764,-0.0026,Hydro,26.63
20320,ESP,17.25,41.779,-1.9839,Wind,32.09
20321,ESP,26.62,42.4167,-8.6667,Gas,63.09
20322,ESP,50.0,37.2583,-6.9508,Gas,118.51
20323,ESP,16.0,39.2379,-3.4233,Oil,33.33
20324,ESP,13.18,43.213,-8.691,Oil,27.46
20325,ESP,40.8,40.5175,-2.7925,Hydro,80.09
20326,ESP,87.6,42.5899,0.4927,Hydro,118.43
20327,ESP,35.85,42.3161,0.7463,Hydro,75.91
20328,ESP,804.36,41.2977,-0.3376,Gas,1906.59
20329,ESP,65.0,41.2961,-0.3376,Coal,296.51
20330,ESP,1199.25,7.5732,-0.9392,Gas,2842.61
20331,ESP,54.4,43.427,-8.0671,Hydro,101.81
20332,ESP,149.8,38.64,-6.744,Solar,329.35
20333,ESP,9.0,28.177,-16.445,Solar,20.82
20334,ESP,20.0,38.916,-2.55,Solar,42.98
20335,ESP,50.0,39.87,-4.475,Solar,107.3
20336,ESP,16.6,37.0939,-5.6265,Solar,37.2
20337,ESP,10.1,37.0973,-5.6343,Solar,18.01
20338,ESP,10.2,37.0983,-5.6223,Solar,18.19
20339,ESP,20.0,36.84,-6.058,Solar,49.61
20340,ESP,4.7,37.2729,-7.3672,Solar,10.0
20341,ESP,13.2,38.1995,-0.8,Solar,30.11
20342,ESP,11.5,38.8952,-6.26,Solar,24.36
20343,ESP,7.0,39.4194,-2.9897,Solar,13.27
20344,ESP,4.7,38.2813,-1.51,Solar,9.7
20345,ESP,10.0,38.8459,-6.43,Solar,18.88
20346,ESP,10.0,40.8436,-1.8876,Gas,23.7
20347,ESP,23.96,42.8805,-8.5457,Gas,56.79
20348,ESP,52.52,41.2331,0.5472,Hydro,98.38
20349,ESP,24.8,43.4604,-8.2551,Oil,51.67
20350,ESP,160.61,42.1538,-8.1933,Hydro,275.97
20351,ESP,75.0,37.7,-1.1,Waste,26.12
20352,ESP,9.0,28.1564,-16.4852,Solar,20.82
20353,ESP,8.8,41.99,-1.566,Solar,15.32
20354,ESP,10.0,40.9178,-4.97,Solar,17.15
20355,ESP,9.9,42.4704,-2.6076,Solar,16.12
20356,ESP,6.1,37.7539,-5.0429,Solar,12.21
20357,ESP,27.9,37.685,-1.174,Solar,67.61
20358,ESP,14.8,37.685,-1.174,Solar,35.46
20359,ESP,8.9,37.684,-1.179,Solar,18.27
20360,ESP,10.4,37.69,-1.162,Solar,23.74
20361,ESP,4.5,42.063,-4.498,Solar,6.97
20362,ESP,5.4,42.0309,-1.4775,Solar,9.48
20363,ESP,110.4,40.2211,-6.133,Hydro,145.05
20364,ESP,14.95,0.7046,42.8025,Gas,35.43
20365,ESP,12.0,43.3048,-8.5075,Gas,28.44
20366,ESP,27.2,39.877,-0.0558,Wind,72.96
20367,ESP,25.71,39.877,-0.0558,Hydro,62.84
20368,ESP,693.34,28.0863,-16.4939,Oil,1444.58
20369,ESP,74.80000000000001,39.5694,2.6502,Waste,26.05
20370,ESP,15.2,38.3119,-3.0422,Hydro,25.75
20371,ESP,13.5,42.2793,-1.7463,Gas,31.99
20372,ESP,43.1,28.2115,-16.7795,Oil,89.79
20373,ESP,52.21,40.1935,-6.1634,Hydro,65.69
20374,ESP,207.99,37.641,-6.0724,Hydro,152.89
20375,ESP,19.9,37.562,-5.332,Solar,45.48
20376,ESP,11.8,41.755,-1.175,Solar,22.66
20377,ESP,5.0,38.803,-6.83,Solar,10.04
20378,ESP,12.3,36.195,-5.416,Solar,31.86
20379,ESP,31.45,42.0357,-6.9054,Wind,74.73
20380,ESP,99.8,39.2385,-3.4749,Solar,201.27
20381,ESP,14.94,42.8561,-7.1636,Waste,5.2
20382,ESP,40.8,38.8299,-3.5781,Wind,86.76
20383,ESP,8.0,38.5891,-1.7906,Solar,16.31
20384,ESP,5.5,37.685,-1.533,Solar,11.5
20385,ESP,9.5,37.268,-6.417,Solar,16.93
20386,ESP,12.0,38.474,-6.232,Solar,25.62
20387,ESP,20.0,38.364,-1.277,Solar,42.68
20388,ESP,88.85,42.7163,-0.5256,Hydro,186.1
20389,ESP,76.71000000000001,37.2667,-4.4143,Hydro,106.26
20390,ESP,50.0,38.645,-3.973,Solar,112.46
20391,ESP,5.0,39.438,-1.709,Solar,10.08
20392,ESP,8.4,37.1488,-6.1452,Solar,15.86
20393,ESP,234.46000000000004,28.0424,-15.4114,Oil,488.5
20394,ESP,953.32,39.2438,-0.9317,Hydro,1076.51
20395,ESP,5.6,36.7076,-6.2309,Solar,12.47
20396,ESP,7.0,38.9287,-0.5115,Solar,15.38
20397,ESP,27.17,37.4955,-1.4802,Waste,9.46
20398,ESP,52.09,28.3504,-14.1076,Hydro,112.63
20399,ESP,30.6,38.6739,-0.8133,Wind,77.8
20400,ESP,49.9,38.9594,-6.464,Solar,100.26
